(0.0020, 0.0140, 0.0290)	Architecture [2-4]	 Time 0.0470	 Loss 0.9798	 CELoss 0.9239	  RegLoss 0.0559	 s9 1.0132510662078857
(0.0010, 0.0120, 0.0300)	Architecture [2-9]	 Time 0.0450	 Loss 0.9922	 CELoss 0.9364	  RegLoss 0.0558	 s9 1.0124577283859253
(0.0020, 0.0100, 0.0270)	Architecture [2-14]	 Time 0.0400	 Loss 0.8934	 CELoss 0.8378	  RegLoss 0.0557	 s9 1.0119677782058716
(0.0020, 0.0110, 0.0270)	Architecture [2-19]	 Time 0.0410	 Loss 0.8802	 CELoss 0.8245	  RegLoss 0.0556	 s9 1.0116431713104248
(0.0010, 0.0100, 0.0260)	Architecture [2-24]	 Time 0.0390	 Loss 0.9623	 CELoss 0.9067	  RegLoss 0.0556	 s9 1.0112183094024658
(0.0020, 0.0100, 0.0270)	Architecture [2-29]	 Time 0.0400	 Loss 0.9104	 CELoss 0.8549	  RegLoss 0.0555	 s9 1.0107351541519165
(0.0020, 0.0080, 0.0190)	Architecture [2-34]	 Time 0.0300	 Loss 1.1418	 CELoss 1.0863	  RegLoss 0.0555	 s9 1.010534405708313
(0.0020, 0.0130, 0.0280)	Architecture [2-39]	 Time 0.0450	 Loss 0.9653	 CELoss 0.9098	  RegLoss 0.0555	 s9 1.010465145111084
(0.0010, 0.0100, 0.0270)	Architecture [2-44]	 Time 0.0400	 Loss 1.0593	 CELoss 1.0039	  RegLoss 0.0554	 s9 1.010188341140747
(0.0020, 0.0100, 0.0280)	Architecture [2-49]	 Time 0.0410	 Loss 1.2989	 CELoss 1.2435	  RegLoss 0.0553	 s9 1.0097391605377197
(0.0020, 0.0120, 0.0280)	Architecture [2-54]	 Time 0.0430	 Loss 1.0757	 CELoss 1.0205	  RegLoss 0.0553	 s9 1.009242296218872
(0.0020, 0.0150, 0.0280)	Architecture [3-4]	 Time 0.0460	 Loss 0.7940	 CELoss 0.7388	  RegLoss 0.0552	 s9 1.0089232921600342
(0.0020, 0.0100, 0.0270)	Architecture [3-9]	 Time 0.0400	 Loss 1.1145	 CELoss 1.0593	  RegLoss 0.0552	 s9 1.0086023807525635
(0.0020, 0.0070, 0.0190)	Architecture [3-14]	 Time 0.0300	 Loss 1.3764	 CELoss 1.3212	  RegLoss 0.0552	 s9 1.0085716247558594
(0.0020, 0.0100, 0.0260)	Architecture [3-19]	 Time 0.0390	 Loss 0.8884	 CELoss 0.8333	  RegLoss 0.0551	 s9 1.008156657218933
(0.0020, 0.0100, 0.0280)	Architecture [3-24]	 Time 0.0400	 Loss 0.8199	 CELoss 0.7648	  RegLoss 0.0551	 s9 1.007904052734375
(0.0010, 0.0100, 0.0270)	Architecture [3-29]	 Time 0.0400	 Loss 0.9245	 CELoss 0.8695	  RegLoss 0.0550	 s9 1.0077563524246216
(0.0030, 0.0130, 0.0280)	Architecture [3-34]	 Time 0.0450	 Loss 0.9808	 CELoss 0.9258	  RegLoss 0.0550	 s9 1.007565975189209
(0.0020, 0.0100, 0.0270)	Architecture [3-39]	 Time 0.0400	 Loss 0.7412	 CELoss 0.6863	  RegLoss 0.0550	 s9 1.0072895288467407
(0.0020, 0.0100, 0.0290)	Architecture [3-44]	 Time 0.0420	 Loss 0.7806	 CELoss 0.7257	  RegLoss 0.0549	 s9 1.0070160627365112
(0.0020, 0.0120, 0.0280)	Architecture [3-49]	 Time 0.0430	 Loss 2.1810	 CELoss 2.1261	  RegLoss 0.0549	 s9 1.006834626197815
(0.0020, 0.0100, 0.0270)	Architecture [3-54]	 Time 0.0390	 Loss 0.8086	 CELoss 0.7538	  RegLoss 0.0548	 s9 1.0063174962997437
(0.0020, 0.0120, 0.0300)	Architecture [4-4]	 Time 0.0450	 Loss 0.7176	 CELoss 0.6628	  RegLoss 0.0548	 s9 1.0059840679168701
(0.0010, 0.0120, 0.0290)	Architecture [4-9]	 Time 0.0440	 Loss 0.9805	 CELoss 0.9258	  RegLoss 0.0547	 s9 1.0057300329208374
(0.0010, 0.0090, 0.0220)	Architecture [4-14]	 Time 0.0330	 Loss 0.9906	 CELoss 0.9359	  RegLoss 0.0547	 s9 1.0055173635482788
(0.0010, 0.0110, 0.0290)	Architecture [4-19]	 Time 0.0430	 Loss 0.8943	 CELoss 0.8396	  RegLoss 0.0547	 s9 1.0053603649139404
(0.0010, 0.0110, 0.0250)	Architecture [4-24]	 Time 0.0390	 Loss 0.9397	 CELoss 0.8850	  RegLoss 0.0546	 s9 1.0050981044769287
(0.0010, 0.0110, 0.0270)	Architecture [4-29]	 Time 0.0400	 Loss 0.9036	 CELoss 0.8490	  RegLoss 0.0546	 s9 1.0050410032272339
(0.0020, 0.0110, 0.0260)	Architecture [4-34]	 Time 0.0410	 Loss 0.9746	 CELoss 0.9200	  RegLoss 0.0546	 s9 1.0049540996551514
(0.0010, 0.0110, 0.0280)	Architecture [4-39]	 Time 0.0420	 Loss 1.0749	 CELoss 1.0203	  RegLoss 0.0546	 s9 1.0047944784164429
(0.0010, 0.0110, 0.0250)	Architecture [4-44]	 Time 0.0390	 Loss 1.0124	 CELoss 0.9579	  RegLoss 0.0545	 s9 1.0045469999313354
(0.0010, 0.0080, 0.0180)	Architecture [4-49]	 Time 0.0290	 Loss 1.1090	 CELoss 1.0545	  RegLoss 0.0545	 s9 1.004286527633667
(0.0010, 0.0110, 0.0260)	Architecture [4-54]	 Time 0.0390	 Loss 1.2812	 CELoss 1.2267	  RegLoss 0.0545	 s9 1.0041282176971436
(0.0010, 0.0110, 0.0180)	Architecture [5-4]	 Time 0.0320	 Loss 0.9121	 CELoss 0.8576	  RegLoss 0.0544	 s9 1.0038349628448486
(0.0010, 0.0110, 0.0270)	Architecture [5-9]	 Time 0.0410	 Loss 0.8574	 CELoss 0.8030	  RegLoss 0.0544	 s9 1.0036064386367798
(0.0010, 0.0110, 0.0250)	Architecture [5-14]	 Time 0.0390	 Loss 0.8312	 CELoss 0.7768	  RegLoss 0.0544	 s9 1.0035573244094849
(0.0020, 0.0120, 0.0270)	Architecture [5-19]	 Time 0.0410	 Loss 1.1160	 CELoss 1.0616	  RegLoss 0.0544	 s9 1.003462553024292
(0.0020, 0.0110, 0.0260)	Architecture [5-24]	 Time 0.0390	 Loss 0.9295	 CELoss 0.8752	  RegLoss 0.0543	 s9 1.0031791925430298
(0.0020, 0.0100, 0.0260)	Architecture [5-29]	 Time 0.0390	 Loss 0.6906	 CELoss 0.6363	  RegLoss 0.0543	 s9 1.0028986930847168
(0.0020, 0.0110, 0.0270)	Architecture [5-34]	 Time 0.0410	 Loss 0.9430	 CELoss 0.8887	  RegLoss 0.0543	 s9 1.002826452255249
(0.0020, 0.0100, 0.0270)	Architecture [5-39]	 Time 0.0400	 Loss 1.0640	 CELoss 1.0098	  RegLoss 0.0542	 s9 1.0025019645690918
(0.0010, 0.0100, 0.0270)	Architecture [5-44]	 Time 0.0400	 Loss 0.7606	 CELoss 0.7064	  RegLoss 0.0542	 s9 1.0022138357162476
(0.0010, 0.0080, 0.0180)	Architecture [5-49]	 Time 0.0290	 Loss 1.2165	 CELoss 1.1623	  RegLoss 0.0541	 s9 1.001929759979248
(0.0010, 0.0100, 0.0270)	Architecture [5-54]	 Time 0.0400	 Loss 1.2383	 CELoss 1.1841	  RegLoss 0.0542	 s9 1.0019831657409668
(0.0020, 0.0110, 0.0260)	Architecture [6-4]	 Time 0.0400	 Loss 1.5528	 CELoss 1.4987	  RegLoss 0.0541	 s9 1.0015932321548462
(0.0020, 0.0110, 0.0260)	Architecture [6-9]	 Time 0.0400	 Loss 1.0269	 CELoss 0.9728	  RegLoss 0.0542	 s9 1.0021507740020752
(0.0020, 0.0110, 0.0260)	Architecture [6-14]	 Time 0.0400	 Loss 0.8943	 CELoss 0.8400	  RegLoss 0.0543	 s9 1.0027618408203125
