(0.0020, 0.0090, 0.0220)	Architecture [2-4]	 Time 0.0340	 Loss 0.7783	 CELoss 0.7224	  RegLoss 0.0559	 s9 1.0132510662078857
(0.0020, 0.0130, 0.0270)	Architecture [2-9]	 Time 0.0440	 Loss 0.6709	 CELoss 0.6151	  RegLoss 0.0558	 s9 1.012742042541504
(0.0020, 0.0100, 0.0290)	Architecture [2-14]	 Time 0.0420	 Loss 0.8280	 CELoss 0.7722	  RegLoss 0.0558	 s9 1.0124093294143677
(0.0020, 0.0080, 0.0180)	Architecture [2-19]	 Time 0.0290	 Loss 1.0579	 CELoss 1.0021	  RegLoss 0.0558	 s9 1.012457013130188
(0.0020, 0.0100, 0.0280)	Architecture [2-24]	 Time 0.0400	 Loss 0.8052	 CELoss 0.7495	  RegLoss 0.0557	 s9 1.0123026371002197
(0.0010, 0.0100, 0.0260)	Architecture [2-29]	 Time 0.0390	 Loss 0.9107	 CELoss 0.8550	  RegLoss 0.0557	 s9 1.0122720003128052
(0.0020, 0.0120, 0.0270)	Architecture [2-34]	 Time 0.0430	 Loss 0.9302	 CELoss 0.8744	  RegLoss 0.0557	 s9 1.012263298034668
(0.0020, 0.0100, 0.0260)	Architecture [2-39]	 Time 0.0390	 Loss 0.9586	 CELoss 0.9029	  RegLoss 0.0557	 s9 1.0121837854385376
(0.0020, 0.0110, 0.0290)	Architecture [2-44]	 Time 0.0430	 Loss 0.7785	 CELoss 0.7228	  RegLoss 0.0557	 s9 1.0120210647583008
(0.0010, 0.0130, 0.0280)	Architecture [2-49]	 Time 0.0450	 Loss 2.4339	 CELoss 2.3782	  RegLoss 0.0557	 s9 1.0118327140808105
(0.0030, 0.0130, 0.0270)	Architecture [2-54]	 Time 0.0440	 Loss 0.6829	 CELoss 0.6273	  RegLoss 0.0556	 s9 1.011609673500061
(0.0010, 0.0140, 0.0260)	Architecture [3-4]	 Time 0.0420	 Loss 0.6846	 CELoss 0.6290	  RegLoss 0.0556	 s9 1.011372447013855
(0.0010, 0.0080, 0.0200)	Architecture [3-9]	 Time 0.0310	 Loss 1.7794	 CELoss 1.7239	  RegLoss 0.0556	 s9 1.0111682415008545
(0.0020, 0.0080, 0.0220)	Architecture [3-14]	 Time 0.0330	 Loss 2.0227	 CELoss 1.9672	  RegLoss 0.0556	 s9 1.011237621307373
(0.0020, 0.0120, 0.0270)	Architecture [3-19]	 Time 0.0420	 Loss 0.8834	 CELoss 0.8278	  RegLoss 0.0556	 s9 1.0111135244369507
(0.0010, 0.0130, 0.0270)	Architecture [3-24]	 Time 0.0410	 Loss 0.6179	 CELoss 0.5624	  RegLoss 0.0555	 s9 1.0110704898834229
(0.0020, 0.0100, 0.0270)	Architecture [3-29]	 Time 0.0410	 Loss 0.9959	 CELoss 0.9404	  RegLoss 0.0556	 s9 1.0111032724380493
(0.0010, 0.0110, 0.0280)	Architecture [3-34]	 Time 0.0420	 Loss 1.4040	 CELoss 1.3485	  RegLoss 0.0555	 s9 1.0110632181167603
(0.0010, 0.0110, 0.0270)	Architecture [3-39]	 Time 0.0410	 Loss 0.6364	 CELoss 0.5809	  RegLoss 0.0555	 s9 1.0110232830047607
(0.0010, 0.0070, 0.0110)	Architecture [3-44]	 Time 0.0210	 Loss 1.1225	 CELoss 1.0669	  RegLoss 0.0555	 s9 1.0109879970550537
(0.0020, 0.0080, 0.0190)	Architecture [3-49]	 Time 0.0300	 Loss 4.2114	 CELoss 4.1558	  RegLoss 0.0555	 s9 1.0109403133392334
(0.0020, 0.0100, 0.0280)	Architecture [3-54]	 Time 0.0410	 Loss 0.8020	 CELoss 0.7465	  RegLoss 0.0555	 s9 1.0107694864273071
(0.0020, 0.0150, 0.0260)	Architecture [4-4]	 Time 0.0440	 Loss 0.6604	 CELoss 0.6049	  RegLoss 0.0555	 s9 1.0106902122497559
(0.0010, 0.0080, 0.0190)	Architecture [4-9]	 Time 0.0300	 Loss 1.2219	 CELoss 1.1665	  RegLoss 0.0555	 s9 1.0106184482574463
(0.0010, 0.0110, 0.0270)	Architecture [4-14]	 Time 0.0410	 Loss 1.3491	 CELoss 1.2936	  RegLoss 0.0555	 s9 1.0107146501541138
(0.0020, 0.0100, 0.0200)	Architecture [4-19]	 Time 0.0320	 Loss 0.8053	 CELoss 0.7498	  RegLoss 0.0555	 s9 1.0108089447021484
(0.0020, 0.0100, 0.0260)	Architecture [4-24]	 Time 0.0380	 Loss 1.1998	 CELoss 1.1443	  RegLoss 0.0555	 s9 1.0108633041381836
(0.0010, 0.0110, 0.0280)	Architecture [4-29]	 Time 0.0410	 Loss 0.6041	 CELoss 0.5486	  RegLoss 0.0555	 s9 1.010827660560608
(0.0020, 0.0100, 0.0190)	Architecture [4-34]	 Time 0.0330	 Loss 1.1452	 CELoss 1.0897	  RegLoss 0.0555	 s9 1.0107873678207397
(0.0010, 0.0110, 0.0280)	Architecture [4-39]	 Time 0.0420	 Loss 1.0464	 CELoss 0.9909	  RegLoss 0.0555	 s9 1.0108739137649536
(0.0010, 0.0080, 0.0190)	Architecture [4-44]	 Time 0.0290	 Loss 1.1429	 CELoss 1.0874	  RegLoss 0.0555	 s9 1.010819673538208
(0.0020, 0.0080, 0.0190)	Architecture [4-49]	 Time 0.0300	 Loss 1.0507	 CELoss 0.9953	  RegLoss 0.0555	 s9 1.0105727910995483
(0.0020, 0.0080, 0.0190)	Architecture [4-54]	 Time 0.0300	 Loss 1.2416	 CELoss 1.1862	  RegLoss 0.0555	 s9 1.0105259418487549
(0.0020, 0.0120, 0.0270)	Architecture [5-4]	 Time 0.0430	 Loss 0.5299	 CELoss 0.4745	  RegLoss 0.0555	 s9 1.0105605125427246
(0.0020, 0.0100, 0.0260)	Architecture [5-9]	 Time 0.0390	 Loss 0.6635	 CELoss 0.6081	  RegLoss 0.0555	 s9 1.0104371309280396
(0.0020, 0.0100, 0.0280)	Architecture [5-14]	 Time 0.0420	 Loss 0.7809	 CELoss 0.7254	  RegLoss 0.0554	 s9 1.0103620290756226
(0.0020, 0.0100, 0.0250)	Architecture [5-19]	 Time 0.0380	 Loss 2.7676	 CELoss 2.7121	  RegLoss 0.0554	 s9 1.0102819204330444
(0.0020, 0.0080, 0.0200)	Architecture [5-24]	 Time 0.0310	 Loss 0.8432	 CELoss 0.7878	  RegLoss 0.0554	 s9 1.0100315809249878
(0.0010, 0.0130, 0.0270)	Architecture [5-29]	 Time 0.0430	 Loss 0.6424	 CELoss 0.5871	  RegLoss 0.0554	 s9 1.010032296180725
(0.0010, 0.0110, 0.0260)	Architecture [5-34]	 Time 0.0390	 Loss 0.9330	 CELoss 0.8777	  RegLoss 0.0554	 s9 1.0098168849945068
(0.0020, 0.0100, 0.0260)	Architecture [5-39]	 Time 0.0380	 Loss 1.0767	 CELoss 1.0213	  RegLoss 0.0553	 s9 1.009751558303833
(0.0020, 0.0110, 0.0280)	Architecture [5-44]	 Time 0.0420	 Loss 0.7387	 CELoss 0.6834	  RegLoss 0.0553	 s9 1.0096629858016968
(0.0020, 0.0110, 0.0280)	Architecture [5-49]	 Time 0.0420	 Loss 0.8071	 CELoss 0.7517	  RegLoss 0.0553	 s9 1.0096379518508911
(0.0020, 0.0100, 0.0250)	Architecture [5-54]	 Time 0.0380	 Loss 3.7946	 CELoss 3.7393	  RegLoss 0.0553	 s9 1.0096957683563232
