(0.0010, 0.0110, 0.0290)	Architecture [2-4]	 Time 0.0440	 Loss 0.7858	 CELoss 0.7300	  RegLoss 0.0559	 s9 1.0132510662078857
(0.0020, 0.0070, 0.0190)	Architecture [2-9]	 Time 0.0280	 Loss 1.1436	 CELoss 1.0878	  RegLoss 0.0558	 s9 1.0126709938049316
(0.0010, 0.0100, 0.0270)	Architecture [2-14]	 Time 0.0390	 Loss 0.7385	 CELoss 0.6827	  RegLoss 0.0557	 s9 1.012306571006775
(0.0020, 0.0100, 0.0260)	Architecture [2-19]	 Time 0.0380	 Loss 0.5930	 CELoss 0.5373	  RegLoss 0.0557	 s9 1.0118058919906616
(0.0010, 0.0090, 0.0190)	Architecture [2-24]	 Time 0.0300	 Loss 0.6183	 CELoss 0.5627	  RegLoss 0.0556	 s9 1.011277437210083
(0.0010, 0.0090, 0.0190)	Architecture [2-29]	 Time 0.0310	 Loss 0.6251	 CELoss 0.5696	  RegLoss 0.0556	 s9 1.0112214088439941
(0.0010, 0.0110, 0.0290)	Architecture [2-34]	 Time 0.0430	 Loss 1.0234	 CELoss 0.9678	  RegLoss 0.0556	 s9 1.0112297534942627
(0.0010, 0.0080, 0.0190)	Architecture [2-39]	 Time 0.0300	 Loss 0.8912	 CELoss 0.8357	  RegLoss 0.0555	 s9 1.0109890699386597
(0.0020, 0.0080, 0.0190)	Architecture [2-44]	 Time 0.0300	 Loss 1.0634	 CELoss 1.0078	  RegLoss 0.0555	 s9 1.0110418796539307
(0.0020, 0.0090, 0.0190)	Architecture [2-49]	 Time 0.0320	 Loss 1.9999	 CELoss 1.9444	  RegLoss 0.0555	 s9 1.0106948614120483
(0.0020, 0.0100, 0.0250)	Architecture [2-54]	 Time 0.0380	 Loss 0.6711	 CELoss 0.6157	  RegLoss 0.0555	 s9 1.0104937553405762
(0.0010, 0.0140, 0.0260)	Architecture [3-4]	 Time 0.0430	 Loss 0.6140	 CELoss 0.5586	  RegLoss 0.0554	 s9 1.0103906393051147
(0.0010, 0.0110, 0.0260)	Architecture [3-9]	 Time 0.0390	 Loss 0.6320	 CELoss 0.5765	  RegLoss 0.0554	 s9 1.0103040933609009
(0.0020, 0.0100, 0.0260)	Architecture [3-14]	 Time 0.0390	 Loss 1.3114	 CELoss 1.2560	  RegLoss 0.0554	 s9 1.0102200508117676
(0.0020, 0.0080, 0.0180)	Architecture [3-19]	 Time 0.0280	 Loss 0.8525	 CELoss 0.7972	  RegLoss 0.0554	 s9 1.0098150968551636
(0.0010, 0.0100, 0.0280)	Architecture [3-24]	 Time 0.0400	 Loss 0.3965	 CELoss 0.3412	  RegLoss 0.0553	 s9 1.0096545219421387
(0.0020, 0.0100, 0.0270)	Architecture [3-29]	 Time 0.0400	 Loss 0.7350	 CELoss 0.6797	  RegLoss 0.0553	 s9 1.0094596147537231
(0.0010, 0.0090, 0.0190)	Architecture [3-34]	 Time 0.0310	 Loss 0.9217	 CELoss 0.8664	  RegLoss 0.0553	 s9 1.0092979669570923
(0.0020, 0.0090, 0.0190)	Architecture [3-39]	 Time 0.0310	 Loss 0.8040	 CELoss 0.7488	  RegLoss 0.0553	 s9 1.009232997894287
(0.0020, 0.0110, 0.0260)	Architecture [3-44]	 Time 0.0400	 Loss 0.6284	 CELoss 0.5732	  RegLoss 0.0553	 s9 1.009219765663147
(0.0020, 0.0120, 0.0270)	Architecture [3-49]	 Time 0.0420	 Loss 3.3136	 CELoss 3.2584	  RegLoss 0.0553	 s9 1.00912606716156
(0.0010, 0.0100, 0.0270)	Architecture [3-54]	 Time 0.0400	 Loss 0.5480	 CELoss 0.4928	  RegLoss 0.0552	 s9 1.0088739395141602
(0.0020, 0.0080, 0.0180)	Architecture [4-4]	 Time 0.0290	 Loss 0.4345	 CELoss 0.3793	  RegLoss 0.0552	 s9 1.008715271949768
(0.0010, 0.0100, 0.0260)	Architecture [4-9]	 Time 0.0380	 Loss 0.7229	 CELoss 0.6677	  RegLoss 0.0552	 s9 1.0086770057678223
(0.0020, 0.0090, 0.0260)	Architecture [4-14]	 Time 0.0380	 Loss 0.6401	 CELoss 0.5850	  RegLoss 0.0552	 s9 1.0085879564285278
(0.0020, 0.0080, 0.0170)	Architecture [4-19]	 Time 0.0280	 Loss 0.7864	 CELoss 0.7313	  RegLoss 0.0552	 s9 1.008491039276123
(0.0020, 0.0100, 0.0270)	Architecture [4-24]	 Time 0.0400	 Loss 0.5435	 CELoss 0.4883	  RegLoss 0.0551	 s9 1.008453130722046
(0.0010, 0.0100, 0.0250)	Architecture [4-29]	 Time 0.0380	 Loss 0.5410	 CELoss 0.4858	  RegLoss 0.0551	 s9 1.0083447694778442
(0.0010, 0.0100, 0.0270)	Architecture [4-34]	 Time 0.0390	 Loss 0.6287	 CELoss 0.5735	  RegLoss 0.0551	 s9 1.0082679986953735
(0.0010, 0.0110, 0.0280)	Architecture [4-39]	 Time 0.0410	 Loss 1.4362	 CELoss 1.3811	  RegLoss 0.0551	 s9 1.0081689357757568
(0.0020, 0.0120, 0.0250)	Architecture [4-44]	 Time 0.0390	 Loss 0.9849	 CELoss 0.9298	  RegLoss 0.0551	 s9 1.008135437965393
(0.0020, 0.0070, 0.0180)	Architecture [4-49]	 Time 0.0280	 Loss 1.0390	 CELoss 0.9838	  RegLoss 0.0551	 s9 1.0082231760025024
(0.0010, 0.0100, 0.0280)	Architecture [4-54]	 Time 0.0410	 Loss 2.4308	 CELoss 2.3758	  RegLoss 0.0551	 s9 1.0079312324523926
(0.0020, 0.0150, 0.0250)	Architecture [5-4]	 Time 0.0440	 Loss 0.6360	 CELoss 0.5810	  RegLoss 0.0550	 s9 1.0077311992645264
(0.0010, 0.0110, 0.0250)	Architecture [5-9]	 Time 0.0390	 Loss 0.6815	 CELoss 0.6265	  RegLoss 0.0550	 s9 1.0076037645339966
(0.0010, 0.0100, 0.0260)	Architecture [5-14]	 Time 0.0390	 Loss 0.6389	 CELoss 0.5839	  RegLoss 0.0550	 s9 1.0074917078018188
(0.0010, 0.0080, 0.0190)	Architecture [5-19]	 Time 0.0290	 Loss 0.9394	 CELoss 0.8844	  RegLoss 0.0550	 s9 1.0073848962783813
