(0.0010, 0.0110, 0.0260)	Architecture [2-4]	 Time 0.0410	 Loss 1.1308	 CELoss 1.0750	  RegLoss 0.0559	 s9 1.0132510662078857
(0.0010, 0.0110, 0.0250)	Architecture [2-9]	 Time 0.0390	 Loss 0.9672	 CELoss 0.9114	  RegLoss 0.0558	 s9 1.013005018234253
(0.0010, 0.0130, 0.0280)	Architecture [2-14]	 Time 0.0440	 Loss 0.7553	 CELoss 0.6995	  RegLoss 0.0558	 s9 1.0125848054885864
(0.0010, 0.0110, 0.0260)	Architecture [2-19]	 Time 0.0390	 Loss 0.7612	 CELoss 0.7055	  RegLoss 0.0557	 s9 1.012275218963623
(0.0010, 0.0100, 0.0250)	Architecture [2-24]	 Time 0.0380	 Loss 0.5954	 CELoss 0.5397	  RegLoss 0.0557	 s9 1.0121124982833862
(0.0010, 0.0100, 0.0270)	Architecture [2-29]	 Time 0.0400	 Loss 0.5882	 CELoss 0.5325	  RegLoss 0.0557	 s9 1.0120073556900024
(0.0010, 0.0090, 0.0180)	Architecture [2-34]	 Time 0.0300	 Loss 1.7876	 CELoss 1.7320	  RegLoss 0.0557	 s9 1.0119205713272095
(0.0010, 0.0100, 0.0270)	Architecture [2-39]	 Time 0.0400	 Loss 0.9022	 CELoss 0.8466	  RegLoss 0.0556	 s9 1.0115522146224976
(0.0020, 0.0100, 0.0240)	Architecture [2-44]	 Time 0.0370	 Loss 0.8317	 CELoss 0.7761	  RegLoss 0.0556	 s9 1.0113626718521118
(0.0010, 0.0100, 0.0270)	Architecture [2-49]	 Time 0.0400	 Loss 3.5140	 CELoss 3.4584	  RegLoss 0.0556	 s9 1.0112038850784302
(0.0010, 0.0120, 0.0270)	Architecture [2-54]	 Time 0.0420	 Loss 0.8003	 CELoss 0.7448	  RegLoss 0.0555	 s9 1.0108531713485718
(0.0020, 0.0130, 0.0250)	Architecture [3-4]	 Time 0.0410	 Loss 0.7737	 CELoss 0.7183	  RegLoss 0.0555	 s9 1.010583519935608
(0.0020, 0.0090, 0.0300)	Architecture [3-9]	 Time 0.0420	 Loss 0.7386	 CELoss 0.6832	  RegLoss 0.0554	 s9 1.010277509689331
(0.0020, 0.0120, 0.0260)	Architecture [3-14]	 Time 0.0410	 Loss 1.7289	 CELoss 1.6735	  RegLoss 0.0554	 s9 1.0100152492523193
(0.0020, 0.0100, 0.0270)	Architecture [3-19]	 Time 0.0400	 Loss 0.9107	 CELoss 0.8553	  RegLoss 0.0554	 s9 1.0098010301589966
(0.0020, 0.0090, 0.0210)	Architecture [3-24]	 Time 0.0330	 Loss 0.4878	 CELoss 0.4325	  RegLoss 0.0554	 s9 1.0097908973693848
(0.0030, 0.0130, 0.0270)	Architecture [3-29]	 Time 0.0440	 Loss 0.8362	 CELoss 0.7808	  RegLoss 0.0553	 s9 1.0097366571426392
(0.0010, 0.0100, 0.0280)	Architecture [3-34]	 Time 0.0410	 Loss 1.0245	 CELoss 0.9691	  RegLoss 0.0553	 s9 1.0096909999847412
(0.0020, 0.0110, 0.0250)	Architecture [3-39]	 Time 0.0390	 Loss 0.5608	 CELoss 0.5055	  RegLoss 0.0553	 s9 1.0096619129180908
(0.0010, 0.0110, 0.0310)	Architecture [3-44]	 Time 0.0450	 Loss 0.8752	 CELoss 0.8199	  RegLoss 0.0553	 s9 1.009616494178772
(0.0020, 0.0090, 0.0190)	Architecture [3-49]	 Time 0.0320	 Loss 1.3913	 CELoss 1.3359	  RegLoss 0.0553	 s9 1.0095523595809937
(0.0020, 0.0100, 0.0260)	Architecture [3-54]	 Time 0.0390	 Loss 0.7054	 CELoss 0.6501	  RegLoss 0.0553	 s9 1.0092613697052002
(0.0010, 0.0140, 0.0280)	Architecture [4-4]	 Time 0.0450	 Loss 0.5741	 CELoss 0.5189	  RegLoss 0.0552	 s9 1.0090771913528442
(0.0010, 0.0100, 0.0260)	Architecture [4-9]	 Time 0.0390	 Loss 0.9998	 CELoss 0.9446	  RegLoss 0.0552	 s9 1.0089585781097412
(0.0010, 0.0080, 0.0180)	Architecture [4-14]	 Time 0.0290	 Loss 0.7005	 CELoss 0.6453	  RegLoss 0.0552	 s9 1.008989930152893
(0.0020, 0.0120, 0.0250)	Architecture [4-19]	 Time 0.0410	 Loss 0.7553	 CELoss 0.7001	  RegLoss 0.0552	 s9 1.0089579820632935
(0.0020, 0.0100, 0.0250)	Architecture [4-24]	 Time 0.0380	 Loss 0.4893	 CELoss 0.4341	  RegLoss 0.0552	 s9 1.0089595317840576
(0.0020, 0.0100, 0.0250)	Architecture [4-29]	 Time 0.0380	 Loss 0.5335	 CELoss 0.4783	  RegLoss 0.0552	 s9 1.0088789463043213
(0.0020, 0.0120, 0.0260)	Architecture [4-34]	 Time 0.0410	 Loss 0.6291	 CELoss 0.5739	  RegLoss 0.0552	 s9 1.0087910890579224
(0.0010, 0.0080, 0.0180)	Architecture [4-39]	 Time 0.0290	 Loss 1.3207	 CELoss 1.2655	  RegLoss 0.0552	 s9 1.0086898803710938
(0.0010, 0.0080, 0.0180)	Architecture [4-44]	 Time 0.0280	 Loss 1.3220	 CELoss 1.2668	  RegLoss 0.0552	 s9 1.0087705850601196
(0.0020, 0.0100, 0.0260)	Architecture [4-49]	 Time 0.0380	 Loss 0.8140	 CELoss 0.7588	  RegLoss 0.0552	 s9 1.0088492631912231
(0.0020, 0.0100, 0.0250)	Architecture [4-54]	 Time 0.0370	 Loss 1.4229	 CELoss 1.3677	  RegLoss 0.0552	 s9 1.0089515447616577
(0.0020, 0.0100, 0.0190)	Architecture [5-4]	 Time 0.0320	 Loss 0.7759	 CELoss 0.7206	  RegLoss 0.0552	 s9 1.008881688117981
(0.0020, 0.0130, 0.0280)	Architecture [5-9]	 Time 0.0440	 Loss 0.6076	 CELoss 0.5524	  RegLoss 0.0552	 s9 1.0087230205535889
(0.0010, 0.0120, 0.0260)	Architecture [5-14]	 Time 0.0400	 Loss 0.6900	 CELoss 0.6348	  RegLoss 0.0552	 s9 1.0085710287094116
(0.0010, 0.0120, 0.0280)	Architecture [5-19]	 Time 0.0430	 Loss 1.7766	 CELoss 1.7215	  RegLoss 0.0551	 s9 1.0084295272827148
(0.0010, 0.0110, 0.0280)	Architecture [5-24]	 Time 0.0420	 Loss 0.7630	 CELoss 0.7079	  RegLoss 0.0551	 s9 1.008297085762024
(0.0020, 0.0090, 0.0190)	Architecture [5-29]	 Time 0.0310	 Loss 0.4104	 CELoss 0.3553	  RegLoss 0.0551	 s9 1.008253812789917
(0.0020, 0.0100, 0.0270)	Architecture [5-34]	 Time 0.0390	 Loss 0.8663	 CELoss 0.8112	  RegLoss 0.0551	 s9 1.008196234703064
(0.0010, 0.0120, 0.0260)	Architecture [5-39]	 Time 0.0390	 Loss 0.9698	 CELoss 0.9147	  RegLoss 0.0551	 s9 1.008136510848999
(0.0020, 0.0110, 0.0270)	Architecture [5-44]	 Time 0.0420	 Loss 0.4986	 CELoss 0.4436	  RegLoss 0.0551	 s9 1.0080419778823853
(0.0010, 0.0080, 0.0180)	Architecture [5-49]	 Time 0.0290	 Loss 0.7790	 CELoss 0.7239	  RegLoss 0.0551	 s9 1.0079493522644043
(0.0010, 0.0100, 0.0260)	Architecture [5-54]	 Time 0.0380	 Loss 5.2975	 CELoss 5.2425	  RegLoss 0.0551	 s9 1.0078694820404053
(0.0020, 0.0100, 0.0260)	Architecture [6-4]	 Time 0.0390	 Loss 0.6058	 CELoss 0.5508	  RegLoss 0.0550	 s9 1.0077577829360962
(0.0020, 0.0100, 0.0260)	Architecture [6-9]	 Time 0.0390	 Loss 0.4125	 CELoss 0.3574	  RegLoss 0.0550	 s9 1.007670283317566
